"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Ministério da Fazenda";": Códigos STN (SICOR)";"Códigos (13 dígitos) a serem preenchidos quando uma destinação possuir fonte de recurso equalizada para identificar as operações que jazem jus à equalização pelo Secretaria do Tesouro Nacional (STN), conforme definido em Portaria do ME.";"Código STN,Plano Safra,SICOR";"1";"0";"27";"0"
"Ministério da Fazenda";"Análises de operações de crédito de estados e municípios";"A contratação de operações de crédito por Estados, Distrito Federal e Municípios, incluindo suas autarquias, fundações e empresas estatais dependentes , subordina-se às normas da Lei de Responsabilidade Fiscal (LRF) e das Resoluções do Senado Federal 40/2001 e 43/2001.
Os entes subnacionais ou suas empresas estatais não dependentes submetem à Secretaria do Tesouro Nacional (STN) ou à instituição financeira credora um pedido de verificação de limites e condições (PVL) para contratação dessas operações. Para mais informações, acesse o Manual para Instrução de Pleitos (MIP), disponível em https://tesourotransparente.gov.br/mip.";"Estados e Municípios,LRF,PVL,operações de crédito";"4";"0";"1279";"1"
"Ministério da Fazenda";"Balanço Aduaneiro";"O Balanço Aduaneiro é publicado anualmente pela Secretaria Especial da Receita Federal do Brasil, e apresenta as principais realizações e resultados da Aduana brasileira para aquele período. As informações estão organizadas de acordo com os principais temas aduaneiros, incluindo importação e exportação, remessas internacionais, controle de bens e viajantes, Programa Operador Econômico Autorizado (OEA), gerenciamento de riscos, e vigilância e repressão.";"Bens,Exportação,Importação,Malha,apreensão,despacho,fraude,oea,remessa,renúncia";"40";"0";"4239";"11"
"Ministério da Fazenda";"Boletim de Arrecadação dos Tributos Estaduais";"Dados referente aos tributos estaduais, informados por cada unidade federada, considerando o disposto no Convênio ICMS 98/96, através do Sistema Gestor dos Dados Econômicos Fiscais – SIGDEF.";"Boletim,CONFAZ,ICMS,IPVA,ITCMD,Impostos,SIGDF,Taxas,Tributos,arrecadação,arrecadação tributária,contribuinte,taxas,tributos estaduais";"1";"1";"11026";"37"
"Ministério da Fazenda";"CARF - Estoque de processos";"Este conjunto de dados contém a lista de processos administrativos fiscais que constavam no estoque do CARF - Conselho Administrativo de Recursos Fiscais - ao final do mês.";"CARF";"15";"0";"877";"7"
"Ministério da Fazenda";"CARF - Julgamentos de processos";"Este conjunto de dados contém a lista de resultados de recursos dos processos administrativos fiscais julgados pelo CARF - Conselho Administrativo de Recursos Fiscais - durante o ano ou período de referência.";"CARF";"14";"0";"1606";"10"
"Ministério da Fazenda";"CAUC";"Este conjunto de dados tem como objetivo disponibilizar informações gerenciais do CAUC relativas à situação de cumprimento de requisitos fiscais. As informações aqui contidas não substituem aquelas auferidas pela consulta ao extrato diário do CAUC. Os dados são atualizados semanalmente e divulgados no primeiro dia útil de cada semana. ";"CAUC,Estados,Municípios,convênios,situação fiscal,transferências financeiras intergovernamentais";"4";"0";"889";"3"
"Ministério da Fazenda";"Cadastro Nacional da Pessoa Jurídica - CNPJ";"O Cadastro Nacional da Pessoa Jurídica (CNPJ) é um banco de dados gerenciado pela Secretaria Especial da Receita Federal do Brasil (RFB), que armazena informações cadastrais das pessoas jurídicas e outras entidades de interesse das administrações tributárias da União, dos Estados, do Distrito Federal e dos Municípios. A periodicidade de atualização dos dados é mensal. Data da última extração: 19/04/2025.";"CNPJ,RFB,cadastro CNPJ,receita federal";"5";"2";"615290";"1353"
"Ministério da Fazenda";"Cadastro Nacional de Obras - CNO";"O Cadastro Nacional de Obras (CNO) é o banco de dados, administrado pela Secretaria Especial da Receita Federal do Brasil (RFB), que armazena informações cadastrais de obras de construção civil e de seus responsáveis. Este cadastro é necessário para que o contribuinte possa cumprir as suas obrigações tributárias (entregar declarações e realizar pagamentos) e, ao final da obra, obter a certidão de regularidade fiscal relativa à obra.";"CNO,RFB,receita federal";"2";"0";"8789";"44"
"Ministério da Fazenda";"Cadastro de Imóveis Rurais - CAFIR";"É o cadastro de imóveis rurais, administrado pela Secretaria Especial da Receita Federal do Brasil (RFB), do qual constarão as informações relativas ao imóvel rural, seu titular e, se for o caso, seus condôminos e compossuidores.
Ao imóvel rural cadastrado no Cafir será atribuído o código do imóvel no Cadastro Imobiliário Brasileiro (CIB).";"CAFIR,Imovel rural,RFB,receita federal";"2";"0";"45584";"209"
